x,y,width,height
0,0,1,1
0,100,1,2
0,200,1,3
0,300,1,4
0,400,1,5
0,500,1,6
0,600,1,7
0,700,1,8
0,800,1,9
0,900,1,10
0,1000,1,11
0,1100,1,12
0,1200,1,13
0,1300,1,14
0,1400,1,15
0,1500,1,16
100,0,2,1
100,100,2,2
100,200,2,3
100,300,2,4
100,400,2,5
100,500,2,6
100,600,2,7
100,700,2,8
100,800,2,9
100,900,2,10
100,1000,2,11
100,1100,2,12
100,1200,2,13
100,1300,2,14
100,1400,2,15
100,1500,2,16
200,0,3,1
200,100,3,2
200,200,3,3
200,300,3,4
200,400,3,5
200,500,3,6
200,600,3,7
200,700,3,8
200,800,3,9
200,900,3,10
200,1000,3,11
200,1100,3,12
200,1200,3,13
200,1300,3,14
200,1400,3,15
200,1500,3,16
300,0,4,1
300,100,4,2
300,200,4,3
300,300,4,4
300,400,4,5
300,500,4,6
300,600,4,7
300,700,4,8
300,800,4,9
300,900,4,10
300,1000,4,11
300,1100,4,12
300,1200,4,13
300,1300,4,14
300,1400,4,15
300,1500,4,16
400,0,5,1
400,100,5,2
400,200,5,3
400,300,5,4
400,400,5,5
400,500,5,6
400,600,5,7
400,700,5,8
400,800,5,9
400,900,5,10
400,1000,5,11
400,1100,5,12
400,1200,5,13
400,1300,5,14
400,1400,5,15
400,1500,5,16
500,0,6,1
500,100,6,2
500,200,6,3
500,300,6,4
500,400,6,5
500,500,6,6
500,600,6,7
500,700,6,8
500,800,6,9
500,900,6,10
500,1000,6,11
500,1100,6,12
500,1200,6,13
500,1300,6,14
500,1400,6,15
500,1500,6,16
600,0,7,1
600,100,7,2
600,200,7,3
600,300,7,4
600,400,7,5
600,500,7,6
600,600,7,7
600,700,7,8
600,800,7,9
600,900,7,10
600,1000,7,11
600,1100,7,12
600,1200,7,13
600,1300,7,14
600,1400,7,15
600,1500,7,16
700,0,8,1
700,100,8,2
700,200,8,3
700,300,8,4
700,400,8,5
700,500,8,6
700,600,8,7
700,700,8,8
700,800,8,9
700,900,8,10
700,1000,8,11
700,1100,8,12
700,1200,8,13
700,1300,8,14
700,1400,8,15
700,1500,8,16
260,170,9,9
160,280,28,28
180,470,9,9
70,80,16,16
80,280,6,6
70,520,27,27
